epoch,lam,loss,mse_loss,ltn_loss,val_loss,val_mse_loss,val_ltn_loss,val_rmse_0,val_rmse_1,val_rmse_2,val_rmse_3,val_rmse_4,val_r1_ndvi,val_r2_height,val_r3_ordering,val_r4_nonneg,val_r5_species,val_r6_seasonal
1,0.03,2.174634274314432,2.163071765619166,0.3854174158152412,2.1645856857299806,2.1527656078338624,0.3940024018287659,15.611845016479492,17.12875747680664,31.754127502441406,49.835227966308594,38.30145263671875,0.8594839453697205,0.3975172519683838,0.03126189708709717,0.027040402963757516,0.8550529837608337,0.4152872145175934
2,0.06,2.1608952985090366,2.13765653441934,0.3873126051005195,2.1109285831451414,2.088587164878845,0.37235655784606936,15.567521095275879,17.126312255859375,31.690818786621094,49.76631546020508,38.26826477050781,0.8595800518989563,0.46814252734184264,0.03149525225162506,0.12362134903669357,0.9023591756820679,0.4721779763698578
3,0.09,2.0879920721054077,2.0540377322365257,0.3772704145487617,1.9885951280593872,1.959583616256714,0.3223502993583679,15.47280216217041,17.02361488342285,31.497831344604492,49.60834503173828,38.17057418823242,0.8598015666007995,0.5290228366851807,0.031981440633535384,0.5467946887016296,0.9681581616401672,0.5744478404521942
4,0.12,1.906630088301266,1.8686456750420963,0.3165367736535914,1.6609935998916625,1.6292593240737916,0.26445225477218626,15.176363945007324,16.72020721435547,30.698183059692383,48.96001052856445,37.79170608520508,0.8606112480163575,0.5398952245712281,0.0333180658519268,0.9775224089622497,0.9927953243255615,0.5740822732448578
5,0.15,1.4853957540848677,1.443159233121311,0.2815767631811254,1.022063136100769,0.9826322197914124,0.2628728151321411,14.533258438110352,15.757575988769531,26.76793670654297,45.45043182373047,35.673973083496094,0.8643496036529541,0.5163387179374694,0.03637519404292107,0.99998779296875,0.9986150026321411,0.5700798630714417
6,0.18,0.8003737155128928,0.7510113523286932,0.2742353467380299,0.5348460018634796,0.48898369669914243,0.2547905921936035,14.672409057617188,12.339726448059082,25.88823890686035,28.53404998779297,26.648658752441406,0.8897838473320008,0.5072870075702667,0.04143939092755318,0.99998779296875,0.9986751079559326,0.5623610436916351
7,0.21000000000000002,0.5434343551888186,0.48931705250459556,0.25770145304062786,0.47869624495506286,0.42847844362258913,0.2391323685646057,15.125389099121094,12.035059928894043,21.1921443939209,23.65968132019043,22.130720138549805,0.8810043096542358,0.6326937437057495,0.04005940780043602,0.994131326675415,0.9711517095565796,0.6068391978740693
8,0.24,0.5065972559592303,0.447139207054587,0.24774190257577336,0.4803788959980011,0.42702946066856384,0.22228928804397582,14.799023628234863,12.177410125732422,18.626590728759766,20.318567276000977,19.215312957763672,0.8860680937767029,0.6988865733146667,0.04037305787205696,0.9974461197853088,0.9797385931015015,0.6217068791389465
9,0.26999999999999996,0.4637206477277419,0.40135758063372445,0.23097431309082928,0.45881659388542173,0.40178645253181455,0.21122275590896605,15.116415023803711,12.529318809509277,16.51915168762207,19.16791343688965,17.667133331298828,0.8872096538543701,0.7416564583778381,0.04001360386610031,0.9978434324264527,0.9887176752090454,0.6326910078525543
10,0.3,0.44400010214132424,0.3813427818172118,0.20885772564831903,0.44694624543190004,0.385022896528244,0.2064111590385437,15.06515121459961,12.227930068969727,15.552388191223145,22.410762786865234,18.452926635742188,0.893370795249939,0.7549522638320922,0.040579362958669665,0.9990603446960449,0.9908038258552552,0.6137987732887268
11,0.3,0.4211156999363619,0.3586505984558779,0.20821699324776144,0.457304447889328,0.39610047936439513,0.2040132164955139,14.989988327026367,12.196409225463867,17.752967834472656,23.76833724975586,20.368383407592773,0.8965193867683411,0.7662700533866882,0.040706224739551544,0.9990949392318725,0.9840746760368347,0.6079211473464966
12,0.3,0.41740818058743195,0.35670188419959126,0.2023543259676765,0.4370740294456482,0.3770467460155487,0.20009093284606932,15.01244831085205,12.15810775756836,15.954882621765137,22.993350982666016,24.822032928466797,0.8963717937469482,0.7822304129600525,0.04064793661236763,0.9993848085403443,0.9859583497047424,0.6121032893657684
13,0.3,0.39359623369048624,0.3320252150297165,0.20523672945359173,0.41139020919799807,0.3515985071659088,0.19930567741394042,14.835372924804688,12.070388793945312,17.15296745300293,20.598379135131836,18.94599151611328,0.8941416621208191,0.7869720697402954,0.040548956394195555,0.9998232841491699,0.9863400340080262,0.6222823917865753
14,0.3,0.38472168410525603,0.3231131714933059,0.20536168883828557,0.3819265604019165,0.3215106248855591,0.20138643980026244,14.737381935119629,11.901185035705566,13.47464656829834,17.866987228393555,18.467288970947266,0.8921462774276734,0.7808701038360596,0.040545474737882614,0.9996034622192382,0.9872992515563965,0.6218863070011139
15,0.3,0.3769559719983269,0.3141951832701178,0.2092026156537673,0.386982387304306,0.3273728430271149,0.19869844913482665,14.494019508361816,11.904953956604004,20.120561599731445,21.074960708618164,20.932161331176758,0.8964521169662476,0.7866629004478455,0.04068326950073242,0.9981510162353515,0.9850988388061523,0.6292531132698059
16,0.3,0.354090888710583,0.29249358703108397,0.20532433425678925,0.3408960998058319,0.2797483950853348,0.20382567644119262,13.750275611877441,12.180667877197266,14.147483825683594,18.034820556640625,19.179861068725586,0.8914841532707214,0.7780223369598389,0.040184271335601804,0.996894097328186,0.9857228636741638,0.5967463970184326
