epoch,lam,loss,mse_loss,ltn_loss,val_loss,val_mse_loss,val_ltn_loss,val_rmse_0,val_rmse_1,val_rmse_2,val_rmse_3,val_rmse_4
1,0.03,4.146339220159194,4.146339220159194,0.0,4.05582013130188,4.05582013130188,0.0,inf,17.123149871826172,inf,49.83935546875,inf
2,0.06,4.122800616657033,4.122800616657033,0.0,4.052762460708618,4.052762460708618,0.0,inf,17.12310218811035,inf,49.83934020996094,inf
3,0.09,4.129130377488978,4.129130377488978,0.0,4.0471484661102295,4.0471484661102295,0.0,inf,17.123018264770508,inf,49.83928298950195,inf
4,0.12,4.146285618052763,4.146285618052763,0.0,4.038799285888672,4.038799285888672,0.0,inf,17.12288475036621,inf,49.8392219543457,inf
5,0.15,4.131362297955682,4.131362297955682,0.0,4.027626895904541,4.027626895904541,0.0,inf,17.12270164489746,inf,49.839115142822266,inf
6,0.18,4.097799960304709,4.097799960304709,0.0,4.013736915588379,4.013736915588379,0.0,inf,17.122472763061523,inf,49.83900451660156,inf
7,0.21000000000000002,4.103283643722534,4.103283643722534,0.0,3.996895170211792,3.996895170211792,0.0,inf,17.122196197509766,inf,49.838863372802734,inf
8,0.24,4.09724149984472,4.09724149984472,0.0,3.98009672164917,3.98009672164917,0.0,inf,17.121923446655273,inf,49.83871841430664,inf
9,0.26999999999999996,4.048254770391128,4.048254770391128,0.0,3.963190698623657,3.963190698623657,0.0,inf,17.121652603149414,inf,49.83857727050781,inf
10,0.3,4.052322612089269,4.052322612089269,0.0,3.946598196029663,3.946598196029663,0.0,inf,17.121374130249023,inf,49.83842468261719,inf
11,0.3,4.013908582575181,4.013908582575181,0.0,3.9301134586334228,3.9301134586334228,0.0,inf,17.121109008789062,inf,49.838279724121094,inf
12,0.3,4.008244149825153,4.008244149825153,0.0,3.913658094406128,3.913658094406128,0.0,inf,17.120840072631836,inf,49.83812713623047,inf
13,0.3,3.998750897014842,3.998750897014842,0.0,3.8971049308776857,3.8971049308776857,0.0,inf,17.120559692382812,inf,49.83797836303711,inf
14,0.3,3.9751304738661823,3.9751304738661823,0.0,3.880914735794067,3.880914735794067,0.0,inf,17.12028694152832,inf,49.83781814575195,inf
15,0.3,3.972671480739818,3.972671480739818,0.0,3.8650652408599853,3.8650652408599853,0.0,inf,17.120023727416992,inf,49.83768844604492,inf
16,0.3,3.9329810983994427,3.9329810983994427,0.0,3.849358320236206,3.849358320236206,0.0,inf,17.119747161865234,inf,49.83753967285156,inf
17,0.3,3.9028089186724495,3.9028089186724495,0.0,3.834936285018921,3.834936285018921,0.0,inf,17.11949348449707,inf,49.837398529052734,inf
18,0.3,3.9051746200112736,3.9051746200112736,0.0,3.8199785709381104,3.8199785709381104,0.0,inf,17.119234085083008,inf,49.83725357055664,inf
19,0.3,3.8804891670451447,3.8804891670451447,0.0,3.805139684677124,3.805139684677124,0.0,inf,17.118993759155273,inf,49.83711624145508,inf
20,0.3,3.874732816920561,3.874732816920561,0.0,3.791083335876465,3.791083335876465,0.0,inf,17.11873435974121,inf,49.836971282958984,inf
21,0.3,3.8868328122531666,3.8868328122531666,0.0,3.7768603324890138,3.7768603324890138,0.0,inf,17.118494033813477,inf,49.83683776855469,inf
22,0.3,3.8508904961978687,3.8508904961978687,0.0,3.763134241104126,3.763134241104126,0.0,inf,17.118257522583008,inf,49.83670425415039,inf
23,0.3,3.831995557336246,3.831995557336246,0.0,3.7498480319976806,3.7498480319976806,0.0,inf,17.118013381958008,inf,49.83656311035156,inf
24,0.3,3.808449857375201,3.808449857375201,0.0,3.7373307228088377,3.7373307228088377,0.0,inf,17.11777687072754,inf,49.83642578125,inf
25,0.3,3.799583631403306,3.799583631403306,0.0,3.7245144844055176,3.7245144844055176,0.0,inf,17.117563247680664,inf,49.836265563964844,inf
26,0.3,3.7890755989972282,3.7890755989972282,0.0,3.7128888607025146,3.7128888607025146,0.0,inf,17.117319107055664,inf,49.83610916137695,inf
27,0.3,3.762315778171315,3.762315778171315,0.0,3.701257610321045,3.701257610321045,0.0,inf,17.117082595825195,inf,49.835968017578125,inf
28,0.3,3.7737939638250015,3.7737939638250015,0.0,3.6900755405426025,3.6900755405426025,0.0,inf,17.116844177246094,inf,49.8358154296875,inf
29,0.3,3.775855443056892,3.775855443056892,0.0,3.67935733795166,3.67935733795166,0.0,inf,17.116647720336914,inf,49.835670471191406,inf
30,0.3,3.7340066573199104,3.7340066573199104,0.0,3.6691268920898437,3.6691268920898437,0.0,inf,17.116413116455078,inf,49.835533142089844,inf
31,0.3,3.7256564252516804,3.7256564252516804,0.0,3.6595436096191407,3.6595436096191407,0.0,inf,17.1162166595459,inf,49.83540725708008,inf
32,0.3,3.736287734087776,3.736287734087776,0.0,3.650304746627808,3.650304746627808,0.0,inf,17.11603355407715,inf,49.83528518676758,inf
33,0.3,3.7229639361886417,3.7229639361886417,0.0,3.6413827896118165,3.6413827896118165,0.0,inf,17.1158504486084,inf,49.835166931152344,inf
34,0.3,3.6906189217286953,3.6906189217286953,0.0,3.63342227935791,3.63342227935791,0.0,inf,17.11568260192871,inf,49.835052490234375,inf
35,0.3,3.7184142365175137,3.7184142365175137,0.0,3.6254222869873045,3.6254222869873045,0.0,inf,17.115524291992188,inf,49.8349494934082,inf
36,0.3,3.6994817397173714,3.6994817397173714,0.0,3.618364763259888,3.618364763259888,0.0,inf,17.115373611450195,inf,49.834842681884766,inf
37,0.3,3.6849572097553924,3.6849572097553924,0.0,3.6115018844604494,3.6115018844604494,0.0,inf,17.115234375,inf,49.834754943847656,inf
38,0.3,3.682897217133466,3.682897217133466,0.0,3.6057130813598635,3.6057130813598635,0.0,inf,17.115093231201172,inf,49.834678649902344,inf
39,0.3,3.669799299801097,3.669799299801097,0.0,3.5991661071777346,3.5991661071777346,0.0,inf,17.114965438842773,inf,49.834590911865234,inf
40,0.3,3.6443972447339226,3.6443972447339226,0.0,3.59407114982605,3.59407114982605,0.0,inf,17.114850997924805,inf,49.83451461791992,inf
41,0.3,3.6828048088971306,3.6828048088971306,0.0,3.5893377304077148,3.5893377304077148,0.0,inf,17.114755630493164,inf,49.83445739746094,inf
42,0.3,3.6515677115496468,3.6515677115496468,0.0,3.5846989154815674,3.5846989154815674,0.0,inf,17.11464500427246,inf,49.83438491821289,inf
43,0.3,3.647078710443833,3.647078710443833,0.0,3.580418348312378,3.580418348312378,0.0,inf,17.114566802978516,inf,49.83433151245117,inf
44,0.3,3.6475467681884766,3.6475467681884766,0.0,3.576705884933472,3.576705884933472,0.0,inf,17.114482879638672,inf,49.83427047729492,inf
45,0.3,3.6411395493675682,3.6411395493675682,0.0,3.573667573928833,3.573667573928833,0.0,inf,17.114412307739258,inf,49.834228515625,inf
46,0.3,3.642766882391537,3.642766882391537,0.0,3.5706804752349854,3.5706804752349854,0.0,inf,17.114355087280273,inf,49.83418655395508,inf
47,0.3,3.6539226980770336,3.6539226980770336,0.0,3.5681928634643554,3.5681928634643554,0.0,inf,17.11429214477539,inf,49.83415603637695,inf
48,0.3,3.6422304405885586,3.6422304405885586,0.0,3.5659954071044924,3.5659954071044924,0.0,inf,17.114246368408203,inf,49.83412551879883,inf
49,0.3,3.6426110828624054,3.6426110828624054,0.0,3.564078521728516,3.564078521728516,0.0,inf,17.114208221435547,inf,49.83409881591797,inf
50,0.3,3.6260245828067554,3.6260245828067554,0.0,3.562036657333374,3.562036657333374,0.0,inf,17.114171981811523,inf,49.83407211303711,inf
51,0.3,3.6179811113020954,3.6179811113020954,0.0,3.5609070301055907,3.5609070301055907,0.0,inf,17.11415672302246,inf,49.83406066894531,inf
52,0.3,3.626149051329669,3.626149051329669,0.0,3.559658336639404,3.559658336639404,0.0,inf,17.114124298095703,inf,49.83403396606445,inf
53,0.3,3.640133675406961,3.640133675406961,0.0,3.559317684173584,3.559317684173584,0.0,inf,17.114097595214844,inf,49.83403396606445,inf
54,0.3,3.631556342629825,3.631556342629825,0.0,3.5580071449279784,3.5580071449279784,0.0,inf,17.11409568786621,inf,49.83401107788086,inf
55,0.3,3.632956168230842,3.632956168230842,0.0,3.557448959350586,3.557448959350586,0.0,inf,17.11407470703125,inf,49.83401107788086,inf
56,0.3,3.612794413286097,3.612794413286097,0.0,3.557361030578613,3.557361030578613,0.0,inf,17.114070892333984,inf,49.834007263183594,inf
57,0.3,3.622899714638205,3.622899714638205,0.0,3.5572821140289306,3.5572821140289306,0.0,inf,17.114065170288086,inf,49.83400344848633,inf
58,0.3,3.608351104399737,3.608351104399737,0.0,3.5572351932525637,3.5572351932525637,0.0,inf,17.114065170288086,inf,49.83399963378906,inf
59,0.3,3.6165138132431927,3.6165138132431927,0.0,3.557132053375244,3.557132053375244,0.0,inf,17.114051818847656,inf,49.8339958190918,inf
60,0.3,3.608356798396391,3.608356798396391,0.0,3.557132053375244,3.557132053375244,0.0,inf,17.114051818847656,inf,49.8339958190918,inf
